keys,ru
TR_OBS_NIGHT_WIN,"Обсидиановая Ночь побеждает!"
TR_HP,"HP"
TR_ARMOUR,"Броня"
TR_AP,"AP"
TR_MP,"MP"
TR_ATTACK,"Атака"
TR_LEVEL,"Уровень"
TR_KILLS,"Уничтожено"
TR_ATT_HELI,"Ударный вертолёт"
TR_INFANTRY,"Пехота"
TR_M_INF,"Мобильная пехота"
TR_M_R_ART,"Мобильная ракетная артиллерия"
TR_ROCK_ART,"Ракетная артиллерия"
TR_SCOUT_HELI,"Разведывательный вертолёт"
TR_TANK,"Танк"
TR_TRUCK,"Грузовик"
TR_CHANCELLOR,"Канцлер"
TR_KING,"Король"
TR_LORD,"Лорд"
TR_PRESIDENT,"Президент"
TR_ADMIRAL,"Адмирал"
TR_CAPTAIN,"Капитан"
TR_COMMANDO,"Коммандос"
TR_GENERAL,"Генерал"
TR_GENTLEMAN,"Джентльмен"
TR_NOBLE,"Дворянин"
TR_PRINCE,"Принц"
TR_WARLORD,"Военачальник"
TR_DEEP_STRIKE,"Глубокий десант"
TR_HARD_ARMOUR,"Усиленная броня"
TR_INFILTRATION,"Проникновение"
TR_INSPIRE,"Воодушевление"
TR_PREC_STRIKE,"Точный удар"
TR_PROMOTE,"Повысить"
TR_SUPPLY,"Снабжение"
TR_TARG_AUT,"Автомат наведения"
TR_DROP_OFF,"Высадить"
TR_HEAVY_MISS,"Тяжёлая ракета"
TR_HEAVY_WEAP,"Тяжёлое оружие"
TR_LR_SHELL,"Дальнобойный снаряд"
TR_MEDKIT,"Аптечка"
TR_MISSILE,"Ракета"
TR_PICK_UP,"Забрать"
TR_RAPID_RESP,"Быстрое реагирование"
TR_REPAIR_KIT,"Ремкомплект"
TR_WIPE_EDITOR,"Очистить редактор"
TR_QUICKSAVE,"Быстрое сохранение"
TR_SAVE_LOAD_MAP,"Сохранить/загрузить карту"
TR_NEXT_MISS,"Следующая миссия"
TR_FINISH,"Завершить"
TR_CLOSE,"Закрыть"
TR_RES_MISS,"Перезапустить миссию"
TR_NOT_ENOUGH_AP,"Недостаточно AP"
TR_AP_SPENT,"AP израсходованы"
TR_NOT_AP_SP,"Уведомлять об AP"
TR_NOT_AP_SP_DESC,"Показывать уведомление, когда AP полностью израсходованы."
TR_MISS_COMP,"Миссия выполнена"
TR_MISS_FAIL,"Миссия провалена"
TR_REPAIR_KIT_DESC,"Набор инструментов, позволяющий солдатам ремонтировать технику. Восстанавливает 5 HP."
TR_RAPID_RESP_DESC,"Полностью восстанавливает MP юнита и позволяет выполнить ещё одну атаку."
TR_PICK_UP_DESC,"Забрать юнит пехоты на борт для перевозки."
TR_MISSILE_DESC,"Дальнобойная управляемая ракета, поражающая наземные и воздушные цели. Наносит 10 урона."
TR_MEDKIT_DESC,"Набор медикаментов для лечения солдат. Восстанавливает 5 HP."
TR_LR_SHELL_DESC,"Специальный снаряд, поражающий цель на расстоянии до 2 клеток. Стреляет только по прямой. Наносит 10 урона."
TR_HEAVY_WEAP_DESC,"Плечевое оружие с разрывным боеприпасом. Наносит 8 урона."
TR_HEAVY_MISS_DESC,"Дальнобойная управляемая ракета против наземных и воздушных целей. Увеличенная дальность. Наносит 11 урона."
TR_DROP_OFF_DESC,"Высадить находящийся на борту юнит пехоты."
TR_PASS_TR_SPEC,"Подготовленный специалист"
TR_PASS_TR_SPEC_DESC,"Годы тренировок дали мастерство обращения со специальным оружием. Перезарядка всех способностей сокращается на 1 ход, но не может стать меньше 1."
TR_PASS_RECRUIT,"Вербовка"
TR_PASS_RECRUIT_DESC,"Ветеран многих кампаний умеет эффективно доставлять пополнение на поле боя. Все пехотные юниты стоят на 10 AP меньше."
TR_PASS_OPTIM,"Оптимизация"
TR_PASS_OPTIM_DESC,"Эксперт по связи и логистике. Благодаря лучшей организации оборудования все вышки дают на 5 AP больше за ход."
TR_PASS_MENTOR,"Наставник"
TR_PASS_MENTOR_DESC,"Выдающийся командир делится опытом с солдатами. Все пехотные юниты начинают с 1-го уровня."
TR_PASS_INTIM,"Запугивание"
TR_PASS_INTIM_DESC,"Жёсткий характер передаётся подчинённым. При захвате здания пехота расходует все AP на запугивание экипажа вместо того, чтобы исчезнуть для его замены."
TR_PASS_HIGH_MOR,"Высокий боевой дух"
TR_PASS_HIGH_MOR_DESC,"Воодушевляющий лидер служит примером для солдат. Броня и атака всех пехотных юнитов увеличены на 1."
TR_PASS_EFFIC,"Эффективность"
TR_PASS_EFFIC_DESC,"Многолетний инженерный опыт улучшает управление заводами. Вся заводская техника стоит на 10 AP меньше."
TR_PASS_AIR_SUP,"Превосходство в воздухе"
TR_PASS_AIR_SUP_DESC,"Военный опыт улучшает управление аэродромами. Вся авиация с аэродромов стоит на 10 AP меньше."
TR_TARG_AUT_DESC,"Временное устройство, помогающее отслеживать быстрые цели. Позволяет всем соседним юнитам атаковать воздушные цели. Если они уже могут это делать, их урон вместо этого увеличивается на 1. Не действует на ракетную артиллерию."
TR_SUPPLY_DESC,"Снабдить все соседние юниты запчастями и медикаментами. Восстанавливает 5 HP."
TR_PROMOTE_DESC,"Повысить юнит, мгновенно дав ему +1 уровень."
TR_PREC_STRIKE_DESC,"Вызвать точный авиаудар. Наносит 5 урона выбранной клетке и всем соседним. Может задеть собственные юниты."
TR_INSPIRE_DESC,"Воодушевить свой юнит на расстоянии до 2 клеток. Полностью восстанавливает MP и позволяет снова атаковать и использовать способность."
TR_INFILTRATION_DESC,"Проникнуть на территорию врага, мгновенно переместившись на клетку в пределах 2 клеток."
TR_HARD_ARMOUR_DESC,"Временно усилить броню юнитов в пределах 2 клеток на 1."
TR_DEEP_STRIKE_DESC,"Вызвать десант парашютистов на расстоянии до 2 клеток. Даёт бесплатный юнит пехоты."
TR_TEAM,"Команда"
TR_NEW_SAVE,"Новое сохранение"
TR_LOAD_GAME,"Загрузить игру"
TR_AUTOSAVE,"Автосохранение"
TR_INTRO,"Вступление"
TR_INTRO_DESC,"Показывать вступление при запуске игры"
TR_ONLINE,"Онлайн"
TR_WELCOME_ONLINE,"Добро пожаловать в ToF Online!"
TR_NEED_REGISTER,"Перед использованием сетевых функций устройство необходимо зарегистрировать в онлайн-системе. Регистрация занимает несколько секунд и полностью анонимна."
TR_REGISTER,"Зарегистрировать"
TR_REQUESTING_PLAYER_ID,"Запрашивается ID игрока. Подождите..."
TR_REQUESTING_PLAYER_FAIL,"Не удалось получить ID игрока. Повторите попытку позже."
TR_REQUESTING_PLAYER_SUCCESS,"ID игрока успешно получен. Добро пожаловать в ToF Online!"
TR_STOCK,"Стандартные"
TR_CUSTOM,"Пользовательские"
TR_DOWNLOADED,"Загруженные"
TR_MATCHES,"Матчи"
TR_MAPS,"Карты"
TR_UPLOAD_MAP,"Загрузить карту"
TR_DOWNLOAD_MAP,"Скачать карту"
TR_SELECTED_MAP,"Выбранная карта"
TR_CONFIRM,"Подтвердить"
TR_CHANGE_MAP,"Сменить карту"
TR_RETRY,"Повторить"
TR_UPLOADING_WAIT,"Карта загружается. Подождите..."
TR_UPLOADING_SUCCESS,"Карта успешно загружена! Теперь можно поделиться кодом карты с друзьями: "
TR_UPLOADING_FAIL,"Не удалось загрузить карту. Повторите попытку позже."
TR_LATEST,"Новые"
TR_TOP_DOWNLOADED,"Самые скачиваемые"
TR_DOWNLOAD,"Скачать"
TR_FETCHING,"Получение данных..."
TR_DOWNLOADING_MAP,"Карта скачивается. Подождите..."
TR_DOWNLOADING_SUCCESS,"Карта скачана."
TR_DOWNLOADING_FAIL,"Не удалось скачать карту. Проверьте правильность кода и повторите попытку."
TR_TOF1_IMPORT,"Импорт ToF"
TR_GENERAL,"Общие"
TR_CONTROLS_HELP,"Подсказки управления"
TR_CONTROLS_HELP_DESC,"Показывать список управления на экране."
TR_MULTIPLAYER,"Мультиплеер"
TR_CREATE_GAME,"Создать игру"
TR_JOIN_GAME,"Присоединиться"
TR_NICKNAME,"Имя игрока"
TR_CONNECT,"Подключиться"
TR_IP_ADDRESS,"IP-адрес"
TR_CONNECTING,"Подключение..."
TR_CONNECTION_ERROR,"Ошибка подключения"
TR_JOIN,"Войти"
TR_LEAVE,"Выйти"
TR_UNASSIGNED,"Не назначено"
TR_WAITING_FOR_PLAYER_RECONNECTED,"Ожидание отключившегося игрока"
TR_GAME_PORT,"Порт игры"
TR_GAME_PORT_DESC,"Порт, используемый для мультиплеерного соединения."
TR_DISCOVERY_PORT,"Порт обнаружения"
TR_DISCOVERY_PORT_DESC,"Порт, используемый для обнаружения сервера."
TR_EDGE_PAN,"Прокрутка у края"
TR_EDGE_PAN_DESC,"Перемещать камеру, когда курсор находится у края экрана."
TR_AI,"ИИ"
TR_CONNECTING,"Подключение! Подождите..."
TR_JOIN_CODE,"Код подключения"
TR_ONLINE_DOMAIN,"Онлайн-домен"
TR_ONLINE_DOMAIN_DESC,"Доменное имя или IP-адрес онлайн-сервера."
TR_ONLINE_PORT,"Онлайн-порт"
TR_ONLINE_PORT_DESC,"Номер порта онлайн-сервера."
TR_RELAY_DOMAIN,"Домен ретранслятора"
TR_RELAY_DOMAIN_DESC,"Доменное имя или IP-адрес сервера-ретранслятора сетевой игры."
TR_RELAY_PORT,"Порт ретранслятора"
TR_RELAY_PORT_DESC,"Номер порта сервера-ретранслятора сетевой игры."
TR_END_TURN_SPEED,"Скорость завершения хода"
TR_END_TURN_SPEED_DESC,"Скорость заполнения индикатора завершения хода."
TR_NO_MOVES_YOU_SURE,"Вы не сделали ни одного хода. Продолжить?"
TR_NO,"Нет"
TR_YES,"Да"
TR_VERSION,"Версия"
TR_SHOW_HEALTH,"Показывать здоровье"
TR_SHOW_HEALTH_DESC,"Показывать полоску здоровья и уровень юнитов."
TR_MAP_SETTINGS,"Настройки карты"
TR_TRIGGERS,"Триггеры"
TR_STORIES,"Сюжеты"
TR_INITIAL_SKIP_HQ_CAM,"Не перемещать камеру к штабу в начале"
TR_INITIAL_CAM_POSITION,"Начальная позиция камеры"
TR_TRACK,"Трек"
TR_RANDOM,"Случайно"
TR_EDIT,"Изменить"
TR_ADD,"Добавить"
TR_DELETE,"Удалить"
TR_CHANGE,"Сменить"
TR_ONEOFF,"Однократно"
TR_VIP,"VIP"
TR_UNIT_TYPE,"Тип юнита"
TR_PLAYER_ID,"ID игрока"
TR_PLAYER_SIDE,"Сторона игрока"
TR_AMOUNT,"Количество"
TR_LIST,"Список"
TR_UNIT_TAG,"Тег юнита"
TR_EXCLUDED_VIPS,"Исключённые VIP"
TR_WATCHED_FIELDS,"Отслеживаемые клетки"
TR_STEP_NO,"№ шага"
TR_DELAY,"Задержка"
TR_MOVE,"Переместить"
TR_SET,"Задать"
TR_CAP,"Ограничить"
TR_WHO,"Кто"
TR_WHOM,"Кого"
TR_DAMAGE,"Урон"
TR_BUILDING,"Здание"
TR_UNIT_NO,"№ юнита"
TR_DISABLE,"Отключить"
TR_POSITION,"Позиция"
TR_ZOOM,"Масштаб"
TR_CLEARED_FIELDS,"Очищенные клетки"
TR_WINNER,"Победитель"
TR_SIDE,"Сторона"
TR_LEFT,"Слева"
TR_RIGHT,"Справа"
TR_COLOUR,"Цвет"
TR_FONT_SIZE,"Размер шрифта"
TR_SOUND,"Звук"
TR_PORTRAIT,"Портрет"
TR_NAME,"Имя"
TR_WHERE,"Где"
TR_SLOT,"Слот"
TR_PAUSE,"Пауза"
TR_ROTATION,"Поворот"
TR_PATH,"Путь"
TR_TRIGGER,"Триггер"
TR_SMOKE,"Дым"
TR_TILE_TYPE,"Тип клетки"
TR_TEMPLATE,"Шаблон"
TR_LENGTH,"Длина"
TR_SUSPENDED,"Приостановлено"
TR_GROUP,"Группа"
TR_TURNS,"Ходы"
TR_ACTION,"Действие"
TR_COOLDOWN,"Перезарядка"
TR_ABILITY,"Способность"
TR_EXPLOSION,"Взрыв"
TR_CREDITS,"Авторы"
TR_ALLOW_LEVEL_UP,"Разрешить повышение уровня"
TR_SCALE_UI,"Масштаб интерфейса"
TR_SCALE_UI_DESC,"Увеличивать интерфейс на экранах высокого разрешения."
TR_RESET,"Сбросить"
TR_PATCH_NOTES,"Список изменений"
TR_RENDER_SCALE,"Масштаб рендеринга"
TR_RENDER_SCALE_DESC,"Масштаб рендеринга 3D-сцены. Меньшее значение повышает производительность."
TR_TURN_LIMIT,"Лимит ходов"
TR_TURN_TIME,"Время хода"
TR_GAME_DRAW,"Время вышло"
TR_TILT_SHIFT,"Размытие tilt-shift"
TR_TILT_SHIFT_DESC,"Размывает верхнюю и нижнюю части экрана для эффекта tilt-shift."
